,Names,ad_Phone,ad_WebSite,ad_about,ad_adress,ad_cuisine,ad_features,ad_meals,ad_prices,guru_time,near_att,near_hot,near_res,special_diets,ad_Phones,info,tfidf,id,gps
1108,Billionaire,+212 664-038342,,This is a new place in marrakech billionaire we have a very nice terrace we have the best chicha in marrakech we have very nice food and alchool our place cant any one entre juste the best peapole thank you,"DERIER ADAM PARK MARRAKECH Hotel & Spa Avenue du 7ème Art Marrakech, Marrakech 40000 Morocco",mixed, , , ,,",,",",,",",,", ,+212 664-038342,"Billionaire ; DERIER ADAM PARK MARRAKECH Hotel & Spa Avenue du 7ème Art Marrakech, Marrakech 40000 Morocco ;  ; This is a new place in marrakech billionaire we have a very nice terrace we have the best chicha in marrakech we have very nice food and alchool our place cant any one entre juste the best peapole thank you ; mixed ;   ;   ;   ; ,, ; ,,","billionaire,derier,adam,park,marrakech,hotel,spa,avenue,du,art,marrakech,marrakech,morocco,mixed",1108,
1109,Pizzeria Awrad,+212 691-747420,, ,"Hay Izdihar N8 Geoupe 18 Immeuble B Route De Safi Jnane Awrad, Marrakech 40140 Morocco",mixed,"Meals on site , Take away sale , Delivery", , ,,"Merzouga Dunes,Palooza Park,Amo Marruecos,Cote bougie,","Dar Selwan Wellness & Spa,Hotel Relax Marrakech,Riad Les Hirondelles Boutique Hotel,Hotel Marrakech le Semiramis,","Le Canot Restaurant Marrakech,Pinnochio Gelato,Solano,La Poele Marrakech,", ,+212 691-747420,"Pizzeria Awrad ; Hay Izdihar N8 Geoupe 18 Immeuble B Route De Safi Jnane Awrad, Marrakech 40140 Morocco ;  ;   ; mixed ;   ; Meals on site , Take away sale , Delivery ;   ; Merzouga Dunes,Palooza Park,Amo Marruecos,Cote bougie, ; Dar Selwan Wellness & Spa,Hotel Relax Marrakech,Riad Les Hirondelles Boutique Hotel,Hotel Marrakech le Semiramis,","pizzeria,awrad,hay,izdihar,geoupe,immeuble,route,de,safi,jnane,awrad,marrakech,morocco,mixed,meal,site,take,away,sale,delivery,merzouga,dune,palooza,park,amo,marruecos,cote,bougie,dar,selwan,wellness,spa,hotel,relax,marrakech,riad,le,hirondelles,boutique,hotel,hotel,marrakech,le,semiramis",1109,/maps/dir//Pizzeria+Awrad+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafec3d46e0e35d:0x3e79c2a9b3178293?sa=X
1110,Mondo Di Pizza Chez Sandra,+212 635-504253,https://www.facebook.com/Mondo-di-Pizza-chez-Sandra-Marrakech-2285872238361444/, ,"Magasin N5 Imm Jaouharate Nakhil B Hay Charaf, Marrakech 40000 Morocco",mixed,"Meals on site , Drive available , Contactless delivery", , ,,"Cote bougie,Marrakechlimo,Morroco Nomade Dream,Moroccan Travel Trip -  Day Tours,","Hotel Relax Marrakech,Palmeraie de l'Atlas,Dar Selwan Wellness & Spa,Wazo Appart-Hotel,","Le Zinc,Solano,La Poele Marrakech,Le Zinc,", ,+212 635-504253,"Mondo Di Pizza Chez Sandra ; Magasin N5 Imm Jaouharate Nakhil B Hay Charaf, Marrakech 40000 Morocco ;  ;   ; mixed ;   ; Meals on site , Drive available , Contactless delivery ;   ; Cote bougie,Marrakechlimo,Morroco Nomade Dream,Moroccan Travel Trip -  Day Tours, ; Hotel Relax Marrakech,Palmeraie de l'Atlas,Dar Selwan Wellness & Spa,Wazo Appart-Hotel,","mondo,di,pizza,chez,sandra,magasin,imm,jaouharate,nakhil,hay,charaf,marrakech,morocco,mixed,meal,site,drive,available,contactless,delivery,cote,bougie,marrakechlimo,morroco,nomade,dream,moroccan,travel,trip,day,tour,hotel,relax,marrakech,palmeraie,de,dar,selwan,wellness,spa,wazo",1110,/maps/dir//Mondo+Di+Pizza+Chez+Sandra+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef6eae653283:0xb44917db8449e26f?sa=X
1111,Papa Sushi,+212 601-449259,http://www.perroquet.ma, ,"59 Résidence Le Verdoyant, Avenue Hassan Ii Hivernage, Marrakech, Marrakech 40000 Morocco",mixed,"Meals on site , Drive available , Contactless delivery", , ,,"Sahara Wanderlust,O Bain de Lina,Meine Marokko Reisen,Morocco Travel Tour,","Hotel Fashion,Hotel Almas,2Ciels Luxury Boutique Hotel & Spa,Meriem Hotel,","Dameh,La Collegiale,Le Grand Cafe De La Poste,Al Bahriya Seafood Restaurant,", ,+212 601-449259,"Papa Sushi ; 59 Résidence Le Verdoyant, Avenue Hassan Ii Hivernage, Marrakech, Marrakech 40000 Morocco ;  ;   ; mixed ;   ; Meals on site , Drive available , Contactless delivery ;   ; Sahara Wanderlust,O Bain de Lina,Meine Marokko Reisen,Morocco Travel Tour, ; Hotel Fashion,Hotel Almas,2Ciels Luxury Boutique Hotel & Spa,Meriem Hotel,","papa,sushi,résidence,le,verdoyant,avenue,hassan,ii,hivernage,marrakech,marrakech,morocco,mixed,meal,site,drive,available,contactless,delivery,sahara,wanderlust,bain,de,lina,meine,marokko,reisen,morocco,travel,tour,hotel,fashion,hotel,luxury,boutique,hotel,spa,meriem,hotel",1111,/maps/dir//Papa+Sushi+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef9233a69e13:0x546f13da40213bdd?sa=X
1112,Le Perroquet,+212 601-449259,http://www.perroquet.ma,Bar - Restaurant,"59 Résidence Le Verdoyant, Avenue Hassan Ii Hivernage, Marrakech, Marrakech 40000 Morocco",mixed, , , ,,"Sahara Wanderlust,O Bain de Lina,Meine Marokko Reisen,Morocco Travel Tour,","Hotel Fashion,Hotel Almas,2Ciels Luxury Boutique Hotel & Spa,Meriem Hotel,","Dameh,La Collegiale,Le Grand Cafe De La Poste,Al Bahriya Seafood Restaurant,", ,+212 601-449259,"Le Perroquet ; 59 Résidence Le Verdoyant, Avenue Hassan Ii Hivernage, Marrakech, Marrakech 40000 Morocco ;  ; Bar - Restaurant ; mixed ;   ;   ;   ; Sahara Wanderlust,O Bain de Lina,Meine Marokko Reisen,Morocco Travel Tour, ; Hotel Fashion,Hotel Almas,2Ciels Luxury Boutique Hotel & Spa,Meriem Hotel,","le,perroquet,résidence,le,verdoyant,avenue,hassan,ii,hivernage,marrakech,marrakech,morocco,mixed,sahara,wanderlust,bain,de,lina,meine,marokko,reisen,morocco,travel,tour,hotel,fashion,hotel,luxury,boutique,hotel,spa,meriem,hotel",1112,
1113,Le Z Cafe,+212 638-959295,, ,"10 rue du Dispensaire, Marrakech Morocco",mixed,"Meals on site , Take away sale , Contactless delivery", , ,,"Samanah,Morocco By Marrakech Travel,Your Morocco Travel,Marrakech Tp,","Hotel Teranga,Hotel des Amis,Riad Mogador,Riad Akwass Targa,","chez ahmed,Restaurant Riad Hamdane,Le tanjiers,Snack Mac Hicham,", ,+212 638-959295,"Le Z Cafe ; 10 rue du Dispensaire, Marrakech Morocco ;  ;   ; mixed ;   ; Meals on site , Take away sale , Contactless delivery ;   ; Samanah,Morocco By Marrakech Travel,Your Morocco Travel,Marrakech Tp, ; Hotel Teranga,Hotel des Amis,Riad Mogador,Riad Akwass Targa,","le,cafe,rue,du,dispensaire,marrakech,morocco,mixed,meal,site,take,away,sale,contactless,delivery,samanah,morocco,marrakech,travel,morocco,travel,marrakech,tp,hotel,teranga,hotel,de,amis,riad,mogador,riad,akwass,targa",1113,/maps/dir//Le+Z+Cafe+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef4d025d0283:0xf3a9913f10a7028f?sa=X
1114,Riad Aicha kitchen,+212 5243-58639,http://forestcoffeeresto.hiboutik.com/food, ,"5, Résidence Amir Hay Al Izdihar, Marrakech 40000 Morocco",mixed, , , ,,"Racines du Desert,Imi-n-Ifri Natural Bridge,Morocco Car Services,Morocco Safari Tours,","Kasbah Illy,Ksar Elkabbaba,Kasbah Ait Benhadda,Le Coq  Hardi,","Cafe-Restaurant Assanfou,Dar Tadout,Le Lion d'Or Atlas,Chez Mounir,", ,+212 5243-58639,"Riad Aicha kitchen ; 5, Résidence Amir Hay Al Izdihar, Marrakech 40000 Morocco ;  ;   ; mixed ;   ;   ;   ; Racines du Desert,Imi-n-Ifri Natural Bridge,Morocco Car Services,Morocco Safari Tours, ; Kasbah Illy,Ksar Elkabbaba,Kasbah Ait Benhadda,Le Coq  Hardi,","riad,aicha,kitchen,résidence,amir,hay,al,izdihar,marrakech,morocco,mixed,racines,du,desert,natural,bridge,morocco,car,service,morocco,safari,tour,kasbah,illy,ksar,elkabbaba,kasbah,ait,benhadda,le,coq,hardi",1114,/maps/dir//Riad+Aicha+kitchen+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef8a16c69315:0xa920f5a80611787c?sa=X
1115,Forest Cafe/restaurant,+212 5243-58639,http://forestcoffeeresto.hiboutik.com/food, ,"5, Résidence Amir Hay Al Izdihar, Marrakech 40000 Morocco",mixed, , , ,,"Racines du Desert,Imi-n-Ifri Natural Bridge,Morocco Car Services,Morocco Safari Tours,","Kasbah Illy,Ksar Elkabbaba,Kasbah Ait Benhadda,Le Coq  Hardi,","Cafe-Restaurant Assanfou,Dar Tadout,Le Lion d'Or Atlas,Chez Mounir,", ,+212 5243-58639,"Forest Cafe/restaurant ; 5, Résidence Amir Hay Al Izdihar, Marrakech 40000 Morocco ;  ;   ; mixed ;   ;   ;   ; Racines du Desert,Imi-n-Ifri Natural Bridge,Morocco Car Services,Morocco Safari Tours, ; Kasbah Illy,Ksar Elkabbaba,Kasbah Ait Benhadda,Le Coq  Hardi,","forest,résidence,amir,hay,al,izdihar,marrakech,morocco,mixed,racines,du,desert,natural,bridge,morocco,car,service,morocco,safari,tour,kasbah,illy,ksar,elkabbaba,kasbah,ait,benhadda,le,coq,hardi",1115,
1116,Babakish Restaurant,+212 5244-20200,http://www.origamimi.com/2021/05/16/babakish-le-nouveau-libanais-de-marrakech/,Lebanese cuisine,"66 Rue Tarik Iben Ziad Gueliz, Marrakech 40000 Morocco",mixed,"Meals on site , Drive available , Delivery", , ,,"Taous Tours,Desert Morocco Adventure,Best Sahara Tours,Travel of Morocco,","Toulousain Hotel,Radisson Blu Hotel, Marrakech Carre Eden,Hotel Almas,Les Trois Palmiers,","Patisserie Gato,Le Tire Bouchon Marrakech,Entrepotes,Catanzaro,", ,+212 5244-20200,"Babakish Restaurant ; 66 Rue Tarik Iben Ziad Gueliz, Marrakech 40000 Morocco ;  ; Lebanese cuisine ; mixed ;   ; Meals on site , Drive available , Delivery ;   ; Taous Tours,Desert Morocco Adventure,Best Sahara Tours,Travel of Morocco, ; Toulousain Hotel,Radisson Blu Hotel, Marrakech Carre Eden,Hotel Almas,Les Trois Palmiers,","babakish,restaurant,rue,tarik,iben,ziad,gueliz,marrakech,morocco,mixed,meal,site,drive,available,delivery,taous,tour,desert,morocco,adventure,best,sahara,tour,travel,morocco,toulousain,hotel,radisson,blu,hotel,marrakech,carre,eden,hotel,almas,les,trois,palmiers",1116,/maps/dir//Babakish+Restaurant+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef011b565655:0xb4f90479ec716d6a?sa=X
1117,Krem Kafe 7,+212 5243-90389,http://chic-riads-marrakech.com/eating-in-marrakesh/chic-cafe-in-the-medina-of-marrakesh/, ,"2 Derb el Hammaria, Marrakech Morocco",mixed, , , ,,"Jardin Bio Aromatique Nectarome,Amazonite,Morocco Sahara Trips,Merzouga Tours - Viaggi in Marocco,","Hotel Teranga,Riad Dar Zen,Ryad des Eaux,Riad Akwass Targa,","Restaurant Naima,Snack Mac Hicham,Le jet set,Tarte au Carre,", ,+212 5243-90389,"Krem Kafe 7 ; 2 Derb el Hammaria, Marrakech Morocco ;  ;   ; mixed ;   ;   ;   ; Jardin Bio Aromatique Nectarome,Amazonite,Morocco Sahara Trips,Merzouga Tours - Viaggi in Marocco, ; Hotel Teranga,Riad Dar Zen,Ryad des Eaux,Riad Akwass Targa,","krem,kafe,derb,el,hammaria,marrakech,morocco,mixed,jardin,bio,aromatique,nectarome,amazonite,morocco,sahara,trip,merzouga,tour,viaggi,marocco,hotel,teranga,riad,dar,zen,ryad,de,eaux,riad,akwass,targa",1117,
1118,Azur,+212 525-081515,https://www.oberoihotels.com/hotels-in-morocco-marrakech/restaurants/azur/?utm_source=GMBlisting&utm_medium=organic,"Set amidst the tranquility of the resort’s pool, palm trees and olive groves, Azur serves creatively crafted meals throughout the day; from refreshing crudos, inspiring salads and grilled favourites.","Route de Ouarzazate The Oberoi Hotel, Marrakech 40000 Morocco",mixed, , , ,,"Museum of African Contemporary Art Al Maaden,Musee de la Palmeraie,Fiesta Beach,Koubba Almoravid,","The Oberoi, Marrakech,Amanjena,Riad Mamass,Bled Al Fassia,","Manzil la Tortue,Mes'Lalla,Le 19,Le Namaskar Restaurant,", ,+212 525-081515,"Azur ; Route de Ouarzazate The Oberoi Hotel, Marrakech 40000 Morocco ;  ; Set amidst the tranquility of the resort’s pool, palm trees and olive groves, Azur serves creatively crafted meals throughout the day; from refreshing crudos, inspiring salads and grilled favourites. ; mixed ;   ;   ;   ; Museum of African Contemporary Art Al Maaden,Musee de la Palmeraie,Fiesta Beach,Koubba Almoravid, ; The Oberoi, Marrakech,Amanjena,Riad Mamass,Bled Al Fassia,","azur,route,de,ouarzazate,oberoi,hotel,marrakech,morocco,mixed,museum,african,contemporary,art,al,maaden,musee,de,la,palmeraie,fiesta,beach,koubba,almoravid,oberoi,marrakech,amanjena,riad,mama,bleed,al,fassia",1118,
1119,restaurant bodega Marrakech,+212 608-601504,, ,"Rue el Adarissa Les Oliviers L'hevernage, Marrakech 40000 Morocco",mixed, , , ,,",,",",,",",,", ,+212 608-601504,"restaurant bodega Marrakech ; Rue el Adarissa Les Oliviers L'hevernage, Marrakech 40000 Morocco ;  ;   ; mixed ;   ;   ;   ; ,, ; ,,","restaurant,bodega,marrakech,rue,el,adarissa,le,olivier,marrakech,morocco,mixed",1119,/maps/dir//restaurant+bodega+Marrakech+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafefe467bf7689:0x8601d59ad23ef1dd?sa=X
1120,Cascado,+212 619-613156,, ,"39 Rue Bab Agnaou Prince, Marrakech Morocco",mixed, , , ,,"Riad Hamdane & SPA,Marrakech Day trip and Excursions,Hammam Lalla,Marrakech Tours,","Riad Mabrouka Marrakech,Hotel Agnou,Hotel Narjisse,Zwinzwin Boutique Hotel And Spa,","Ame et Saveurs,Fine Mama?,Zwin Zwin Cafe,Restaurant El Bahja,", ,+212 619-613156,"Cascado ; 39 Rue Bab Agnaou Prince, Marrakech Morocco ;  ;   ; mixed ;   ;   ;   ; Riad Hamdane & SPA,Marrakech Day trip and Excursions,Hammam Lalla,Marrakech Tours, ; Riad Mabrouka Marrakech,Hotel Agnou,Hotel Narjisse,Zwinzwin Boutique Hotel And Spa,","cascado,rue,bab,agnaou,prince,marrakech,morocco,mixed,riad,hamdane,spa,marrakech,day,trip,excursion,hammam,lalla,marrakech,tour,riad,mabrouka,marrakech,hotel,agnou,hotel,narjisse,zwinzwin,boutique,hotel,spa",1120,/maps/dir//Cascado+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafefc6002e15db:0xbc83d2a48771e31b?sa=X
1121,Badr,+212 607-091430,, ,"Askjoure houssna 2op ouirgane, Marrakech Morocco",mixed, , , ,,"Marruecos Tu Viaje,Atlas Trek Adventure,Sahara Local Tours,Toubkal Trekking,","Villa Gan Eden,Canyon Lodge,The Capaldi Hotel,Domaine De Tameslohte,","The Original Camp Agafay,Relais du Lac,Dar Tifrouine,Rive du Lac,", ,+212 607-091430,"Badr ; Askjoure houssna 2op ouirgane, Marrakech Morocco ;  ;   ; mixed ;   ;   ;   ; Marruecos Tu Viaje,Atlas Trek Adventure,Sahara Local Tours,Toubkal Trekking, ; Villa Gan Eden,Canyon Lodge,The Capaldi Hotel,Domaine De Tameslohte,","badr,askjoure,houssna,ouirgane,marrakech,morocco,mixed,marruecos,tu,viaje,atlas,trek,adventure,sahara,local,tour,toubkal,trekking,villa,gan,eden,canyon,lodge,capaldi,hotel,domaine,de,tameslohte",1121,
1122,Diam’s Cafe,+212 5244-38330,http://facebook.com/cafediamsmarrakech/?ref=bookmarks, ,"14 Boulevard Abdelkrim Al Khattabi, Marrakech 40000 Morocco",mixed, , , ,,"Iriki Experience Travel,AA Quad/ Dromadaire Palmeraie,Premium Transfers & Tours - Navette4You,Arterre, Atelier d'art, Ceramique et Creation,","Hotel Amine,Le Tafilalet,Hotel Marrakech Le Tichka,Imperial Plaza & Spa,","Kech Burger,Saladbox,Bor'kan Marrakech,Restaurant Bouchahin,", ,+212 5244-38330,"Diam’s Cafe ; 14 Boulevard Abdelkrim Al Khattabi, Marrakech 40000 Morocco ;  ;   ; mixed ;   ;   ;   ; Iriki Experience Travel,AA Quad/ Dromadaire Palmeraie,Premium Transfers & Tours - Navette4You,Arterre, Atelier d'art, Ceramique et Creation, ; Hotel Amine,Le Tafilalet,Hotel Marrakech Le Tichka,Imperial Plaza & Spa,","diam,cafe,boulevard,abdelkrim,al,khattabi,marrakech,morocco,mixed,iriki,experience,travel,aa,dromadaire,palmeraie,premium,transfer,tour,arterre,atelier,ceramique,et,creation,hotel,amine,le,tafilalet,hotel,marrakech,le,tichka,imperial,plaza,spa",1122,/maps/dir//Diam%E2%80%99s+Cafe+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef632506477b:0xf46aca737f855e60?sa=X
1123,Pizza Yassine,+212 612-564626,,"Pizzeria whose menu is diversified with a very good price.

A very wide choice of classic and gourmet pizzas.

Our slogan is ""eat well at very good prices""","54,Derb Dabachi, À côté de Tabac Shop En face de Ayoub shop, Marrakech 40000 Morocco",mixed, , , ,,"Dunes Expedition,Musee Yves Saint Laurent Marrakech,Heritage Museum Marrakech,Mille & une Nuits Hammam Spa,","Riad Azra Marrakech,Riad Chic & Cheap,Riad Milouda,Riad Bamboo & Spa,","La Cantine Des Gazelles,Cafe Babouche,El Kennaria Restaurant,My Taher,", ,+212 612-564626,"Pizza Yassine ; 54,Derb Dabachi, À côté de Tabac Shop En face de Ayoub shop, Marrakech 40000 Morocco ;  ; Pizzeria whose menu is diversified with a very good price.

A very wide choice of classic and gourmet pizzas.

Our slogan is ""eat well at very good prices"" ; mixed ;   ;   ;   ; Dunes Expedition,Musee Yves Saint Laurent Marrakech,Heritage Museum Marrakech,Mille & une Nuits Hammam Spa, ; Riad Azra Marrakech,Riad Chic & Cheap,Riad Milouda,Riad Bamboo & Spa,","pizza,yassine,derb,dabachi,côté,de,tabac,shop,en,face,de,ayoub,shop,marrakech,morocco,mixed,dune,expedition,musee,yves,saint,laurent,marrakech,heritage,museum,marrakech,mille,une,nuits,hammam,spa,riad,azra,marrakech,riad,chic,cheap,riad,milouda,riad,bamboo,spa",1123,
1124,Chez Fatiha,,, ,"Place Ben Youssef, Souk El Kebir Almoravid Dome & Ben Youssef Mosque, Marrakech Morocco",mixed, , , ,,",,",",,",",,", , ,"Chez Fatiha ; Place Ben Youssef, Souk El Kebir Almoravid Dome & Ben Youssef Mosque, Marrakech Morocco ;  ;   ; mixed ;   ;   ;   ; ,, ; ,,","chez,fatiha,place,ben,youssef,souk,el,kebir,almoravid,dome,ben,youssef,mosque,marrakech,morocco,mixed",1124,
1125,Carre Blanc,+212 677-699360,, ,"7-9 Rue Draa, Marrakech 40000 Morocco",mixed, , , ,,"Spana,Outdoor Morocco Tours,Medina Loft Spa,Best Merzouga Tours,","Club Med Marrakech le Riad,Club Med Marrakech La Palmeraie,TUI BLUE Riu Tikida Garden,Hotel Mirage d'Atlas,","Casa Di Pizza,Croque & craque - Marrakech,Le Passage,Aux Delices Belges,", ,+212 677-699360,"Carre Blanc ; 7-9 Rue Draa, Marrakech 40000 Morocco ;  ;   ; mixed ;   ;   ;   ; Spana,Outdoor Morocco Tours,Medina Loft Spa,Best Merzouga Tours, ; Club Med Marrakech le Riad,Club Med Marrakech La Palmeraie,TUI BLUE Riu Tikida Garden,Hotel Mirage d'Atlas,","carre,blanc,rue,draa,marrakech,morocco,mixed,spana,outdoor,morocco,tour,medina,loft,spa,best,merzouga,tour,club,med,marrakech,le,riad,club,med,marrakech,la,palmeraie,tui,blue,riu,tikida,garden,hotel,mirage",1125,
1126,Fresco Baldi,+212 5244-38770,, ,"Rue Sourya, Marrakech Morocco",mixed,Meals on site, , ,,"Amazonite,Galerie Dawiya,Happy Morocco - Day Trip,Al Nour,","Hotel Teranga,Riad Dar Zen,Ryad des Eaux,Riad Akwass Targa,","Restaurant Naima,chez ahmed,African-chic,Le Chineur,", ,+212 5244-38770,"Fresco Baldi ; Rue Sourya, Marrakech Morocco ;  ;   ; mixed ;   ; Meals on site ;   ; Amazonite,Galerie Dawiya,Happy Morocco - Day Trip,Al Nour, ; Hotel Teranga,Riad Dar Zen,Ryad des Eaux,Riad Akwass Targa,","fresco,baldi,rue,sourya,marrakech,morocco,mixed,meal,site,amazonite,galerie,dawiya,happy,morocco,day,trip,al,nour,hotel,teranga,riad,dar,zen,ryad,de,eaux,riad,akwass,targa",1126,/maps/dir//Fresco+Baldi+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee8f35bce74b:0xf82e11df35d7df1f?sa=X
1127,Riad Ras El Hanout,+212 622-852682,http://www.facebook.com/riadraselhanout/,"Typical Moroccan cooking class. Explanation of the main dishes, spices and of the berber banquet. Consumption of cooked dishes. 1h30 longe.","Avenue Bab El Khemis, Marrakech 40000 Morocco","Moroccan, Mediterranean","Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Street Parking, Free off-street parking, Television, Wheelchair Accessible, Free Wifi, Dog Friendly, Family style, Non-smoking restaurants","Lunch, Dinner",MAD 368 - MAD 526,,"Amazonite,Galerie Dawiya,Happy Morocco - Day Trip,Al Nour,","Hotel Teranga,Riad Dar Zen,Ryad des Eaux,Riad Akwass Targa,","Restaurant Naima,chez ahmed,African-chic,Le Chineur,", ,+212 622-852682,"Riad Ras El Hanout ; Avenue Bab El Khemis, Marrakech 40000 Morocco ;  ; Typical Moroccan cooking class. Explanation of the main dishes, spices and of the berber banquet. Consumption of cooked dishes. 1h30 longe. ; Moroccan, Mediterranean ; Lunch, Dinner ; Reservations, Outdoor Seating, Buffet, Seating, Parking Available, Street Parking, Free off-street parking, Television, Wheelchair Accessible, Free Wifi, Dog Friendly, Family style, Non-smoking restaurants ;   ; Amazonite,Galerie Dawiya,Happy Morocco - Day Trip,Al Nour, ; Hotel Teranga,Riad Dar Zen,Ryad des Eaux,Riad Akwass Targa,","riad,ra,el,hanout,avenue,bab,el,khemis,marrakech,morocco,moroccan,mediterranean,lunch,dinner,reservation,outdoor,seating,buffet,seating,park,available,street,parking,free,parking,television,wheelchair,accessible,free,wifi,dog,friendly,family,style,restaurant,amazonite,galerie,dawiya,happy,morocco,day,trip,al,nour,hotel,teranga,riad,dar,zen,ryad,de,eaux,riad,akwass,targa",1127,/maps/dir//Riad+Ras+El+Hanout+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef085ec3a2ed:0xf1359af51d850df1?sa=X
1128,California Cafe,+212 651-543357,http://www.restaurant-marrakech.top/,California Marrakech Chiha Hookah Restaurant Caffé,"Rue Ibn Aïcha, Marrakech 40000 Morocco",mixed, , , ,,"Morocco Vacation Tour,Erg Morocco Tours,Libzar Cooking Class,Imzi Tours Inter - Day Tours,","Yaad City Hotel,Diwane Hotel & Spa Marrakech,Tachfine Hotel,Amalay Hotel,","Pointbar,Barometre Marrakech,La Palette Restaurant Marrakech,Chez Mado,", ,+212 651-543357,"California Cafe ; Rue Ibn Aïcha, Marrakech 40000 Morocco ;  ; California Marrakech Chiha Hookah Restaurant Caffé ; mixed ;   ;   ;   ; Morocco Vacation Tour,Erg Morocco Tours,Libzar Cooking Class,Imzi Tours Inter - Day Tours, ; Yaad City Hotel,Diwane Hotel & Spa Marrakech,Tachfine Hotel,Amalay Hotel,","california,cafe,rue,ibn,aïcha,marrakech,morocco,mixed,morocco,vacation,tour,erg,morocco,tour,libzar,cooking,class,imzi,tour,inter,day,tour,yaad,city,hotel,diwane,hotel,spa,marrakech,tachfine,hotel,amalay,hotel",1128,
1129,Patisserie AGIG,+212 675-358663,, ,"N25 rue mauritanie gueliz Devant supermarché achkid, Marrakech 40000 Morocco",mixed, , , ,,"Sahara Wanderlust,Dahbi Morocco Tours,Desert Space Tour,Morocco Travel Tour,","Hotel Almas,Hotel Fashion,Radisson Blu Hotel, Marrakech Carre Eden,Imperial Holiday Hotel & Spa,","Azar,Bagatelle,Delices Strouza,La Collegiale,", ,+212 675-358663,"Patisserie AGIG ; N25 rue mauritanie gueliz Devant supermarché achkid, Marrakech 40000 Morocco ;  ;   ; mixed ;   ;   ;   ; Sahara Wanderlust,Dahbi Morocco Tours,Desert Space Tour,Morocco Travel Tour, ; Hotel Almas,Hotel Fashion,Radisson Blu Hotel, Marrakech Carre Eden,Imperial Holiday Hotel & Spa,","patisserie,agig,rue,mauritanie,gueliz,devant,supermarché,achkid,marrakech,morocco,mixed,sahara,wanderlust,dahbi,morocco,tour,desert,space,tour,morocco,travel,tour,hotel,almas,hotel,fashion,radisson,blu,hotel,marrakech,carre,eden,imperial,holiday,hotel,spa",1129,
1130,Jeannot De Marrakech,+212 661-055769,https://www.facebook.com/Jeannot.de.marrakech/menu,"The JEANNOT restaurant arrives in Marrakech. Since 1924, JEANNOT Essaouira has never ceased to thrill the taste buds of seafood connoisseurs. Discover the most emblematic restaurant specializing in fish and seafood.","Angle Rue Oum El Banine Et Rue Ibn Hanbal, Marrakech 40000 Morocco",Seafood,"Reservations, Outdoor Seating, Seating, Street Parking, Serves Alcohol, Wine and Beer, Accepts Credit Cards, Family style","Lunch, Dinner, Late Night, Drinks",MAD 32 - MAD 210,,"Paroisse des Saints Martyrs,Chris Hair & Beauty Salon,Gardenia Beaute Spa,Marrocos Viagem D sonho,","2Ciels Luxury Boutique Hotel & Spa,Hotel Ibn Batouta,Stars Hotel,Hotel Fashion,","L'Adresse Gueliz,Projet M,Dino Gelato Italiano,La Table d'Antoine - Le Social Club,", ,+212 661-055769,"Jeannot De Marrakech ; Angle Rue Oum El Banine Et Rue Ibn Hanbal, Marrakech 40000 Morocco ;  ; The JEANNOT restaurant arrives in Marrakech. Since 1924, JEANNOT Essaouira has never ceased to thrill the taste buds of seafood connoisseurs. Discover the most emblematic restaurant specializing in fish and seafood. ; Seafood ; Lunch, Dinner, Late Night, Drinks ; Reservations, Outdoor Seating, Seating, Street Parking, Serves Alcohol, Wine and Beer, Accepts Credit Cards, Family style ;   ; Paroisse des Saints Martyrs,Chris Hair & Beauty Salon,Gardenia Beaute Spa,Marrocos Viagem D sonho, ; 2Ciels Luxury Boutique Hotel & Spa,Hotel Ibn Batouta,Stars Hotel,Hotel Fashion,","jeannot,de,marrakech,angle,rue,oum,el,banine,et,rue,ibn,hanbal,marrakech,morocco,seafood,lunch,dinner,late,night,drink,reservation,outdoor,seating,seating,street,parking,serve,alcohol,wine,beer,accept,credit,card,family,style,paroisse,des,saint,martyr,chris,hair,beauty,salon,gardenia,beaute,spa,marrocos,viagem,sonho,luxury,boutique,hotel,spa,hotel,ibn,batouta,star,hotel,hotel,fashion",1130,/maps/dir//Jeannot+De+Marrakech+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef326b1e7a53:0xf815d20166053be2?sa=X
