,Names,adress,description,WebSite,Suggested duration,open during,category,near_res,near_att,info,tfidf,id,gps
43,Marrakech Kart racing,"Ourika Road, Marrakech 40000","Come and live your passion for driving and take pole position on the Marrakech Kart Racing city circuit! Only 5 minutes from the city center and Jemaa El-Fna Square on the Ourika road, the Marrakech Kart Racing track is at the heart of the Agdal hotel zone. Traced in the heart of the Circuit Moulay El Hassan Paddock, that of the FIA ​​WTCR and Formula E, the Marrakech Kart Racing track has been designed and built according to official international standards, both in terms of safety and performance. With a width of 7 meters, the very technical track develops nearly 1000 meters and offers both fast and winding parts allowing to exploit in complete safety the incredible performance of a kart. The track is equipped with a high-performance timing system and the possibility of riding at night!",http://marrakechkartracing.com/,1-2 hours,1:00 PM - 9:00 PM,"Fun & Games in Marrakech
Auto Racing Tracks • Game & Entertainment Centers","La Table Des Oliviers,La Finca Marrakech,Restaurant Les Frères,Samakhouse,La Rotisserie Los Pollos Hermanos,Le Bistrot des Artistes,Copacabana,Hotel Restaurant Amnougour,Le Caravane,","Waky Beach Club,Adouar Marrakech,Palácio da Bahia,Jardin Majorelle,Medina of Marrakesh,Jemaa el-Fnaa,Sahara Riders,Boucharouite Museum,The Orientalist Museum of Marrakech,","Marrakech Kart racing ; Ourika Road, Marrakech 40000 ; Come and live your passion for driving and take pole position on the Marrakech Kart Racing city circuit! Only 5 minutes from the city center and Jemaa El-Fna Square on the Ourika road, the Marrakech Kart Racing track is at the heart of the Agdal hotel zone. Traced in the heart of the Circuit Moulay El Hassan Paddock, that of the FIA ​​WTCR and Formula E, the Marrakech Kart Racing track has been designed and built according to official international standards, both in terms of safety and performance. With a width of 7 meters, the very technical track develops nearly 1000 meters and offers both fast and winding parts allowing to exploit in complete safety the incredible performance of a kart. The track is equipped with a high-performance timing system and the possibility of riding at night! ; Fun & Games in Marrakech
Auto Racing Tracks • Game & Entertainment Centers ; La Table Des Oliviers,La Finca Marrakech,Restaurant Les Frères,Samakhouse,La Rotisserie Los Pollos Hermanos,Le Bistrot des Artistes,Copacabana,Hotel Restaurant Amnougour,Le Caravane,","marrakech,kart,racing,ourika,road,marrakech,come,live,passion,drive,take,pole,position,marrakech,kart,race,city,circuit,minute,city,center,jemaa,square,ourika,road,marrakech,kart,race,track,heart,agdal,hotel,zone,trace,heart,circuit,moulay,el,hassan,paddock,fia,formula,marrakech,kart,race,track,design,build,accord,official,international,standard,term,safety,performance,width,meter,technical,track,develop,nearly,meter,offer,fast,wind,part,allow,exploit,complete,safety,incredible,performance,kart,track,equip,timing,system,possibility,rid,night,fun,game,marrakech,auto,race,track,game,entertainment,center,la,table,de,olivier,la,finca,marrakech,restaurant,le,frères,samakhouse,la,rotisserie,los,pollos,hermanos,le,bistrot,de,artiste,copacabana,hotel,restaurant,amnougour,le,caravane",43,/maps/dir//Marrakech+Kart+racing+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef94d9ba79fd:0x4057b2905faa9843?sa=X
44,Trekking en Marruecos,post office marrakech BP: 9603Marrakesh 40034، 40034,"Trekking in Morocco enjoys great popularity, as the Kingdom surpasses most African countries in terms of natural variety, diversity of terrain and network of trails.  More than 20,000 km of walking routes have been counted!  Whether you are a beginner or an advanced hiker, the country has a lot to offer.  Below we discuss the key aspects , paying special attention at the bottom of the page to the preparations , which should be different depending on the length of the itinerary , the weather and the time of year in which the trip takes place .",,,,"Sights & Landmarks in Marrakech
Bike Tours • Climbing Tours • Eco Tours • Scenic Drives", , ,"Trekking en Marruecos ; post office marrakech BP: 9603Marrakesh 40034، 40034 ; Trekking in Morocco enjoys great popularity, as the Kingdom surpasses most African countries in terms of natural variety, diversity of terrain and network of trails.  More than 20,000 km of walking routes have been counted!  Whether you are a beginner or an advanced hiker, the country has a lot to offer.  Below we discuss the key aspects , paying special attention at the bottom of the page to the preparations , which should be different depending on the length of the itinerary , the weather and the time of year in which the trip takes place . ; Sights & Landmarks in Marrakech
Bike Tours • Climbing Tours • Eco Tours • Scenic Drives ;  ","trek,en,marruecos,post,office,marrakech,bp,trek,morocco,enjoy,great,popularity,kingdom,surpass,african,country,term,natural,variety,diversity,terrain,network,trail,km,walk,route,count,whether,beginner,advanced,hiker,country,lot,offer,discuss,key,aspect,pay,special,attention,bottom,page,preparation,different,depend,length,itinerary,weather,time,year,trip,take,place,sight,landmark,marrakech,bike,tour,climb,tour,eco,tour,scenic,drive",44,
45,Dyers District,"rue res Teinturiers, 40000","Dyers District is a souk, i.e, a market, located close to Djamaâ El Fna. The place mainly feature a varieties of colorful clothes, scarves, carpets, wool's and lots more. This is an ideal place for tourists who like buying traditional wear and local souvenirs. This place also shows the techniques of dying a cloth. Make sure to sort out a guide for yourself beforehand as there is heavy bargaining involved",,,,"Sights & Landmarks in Marrakech
Speciality & Gift Shops • Neighborhoods", , ,"Dyers District ; rue res Teinturiers, 40000 ; Dyers District is a souk, i.e, a market, located close to Djamaâ El Fna. The place mainly feature a varieties of colorful clothes, scarves, carpets, wool's and lots more. This is an ideal place for tourists who like buying traditional wear and local souvenirs. This place also shows the techniques of dying a cloth. Make sure to sort out a guide for yourself beforehand as there is heavy bargaining involved ; Sights & Landmarks in Marrakech
Speciality & Gift Shops • Neighborhoods ;  ","dyer,district,rue,res,teinturiers,dyer,district,souk,market,locate,close,djamaâ,el,fna,place,mainly,feature,variety,colorful,clothes,scarf,carpet,wool,lot,ideal,place,tourist,like,buy,traditional,wear,local,souvenir,place,also,show,technique,die,cloth,make,sure,sort,guide,beforehand,heavy,bargaining,involve,sight,landmark,marrakech,speciality,gift,shop,neighborhood",45,/maps/dir//Dyers+District+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee69b8c306ef:0xa48cd6dfc3ce3a29?sa=X
46,Foundouk el Amri el al Mizane,RUE SOUK EL FASSI N°55 - KAT BENNAHÏD,This building used to be a Caravanserai or merchant’s inn until the 19th century. It used to be a staging post for sugar and tea traders. The inn owners provided them rooms on the first and second floors and looked after their horses and took care of their wares on the two ground floor courtyards. You can see beautiful ochre geometric patterns on classic arches here. Currently this well-preserved funduq belongs to the El Amri family who have turned it into an artisan’s market. We bought some lovely painted wood planks from here.,,,,Historical sites • Monuments & Points of interest,", '', ,","Mosquée Sidi-bel-Abbès,Ksar of Ait-Ben-Haddou,Jardin Majorelle,Palácio da Bahia,Medina of Marrakesh,Jemaa el-Fnaa,Sahara Riders,The Orientalist Museum of Marrakech,Boucharouite Museum,","Foundouk el Amri el al Mizane ; RUE SOUK EL FASSI N°55 - KAT BENNAHÏD ; This building used to be a Caravanserai or merchant’s inn until the 19th century. It used to be a staging post for sugar and tea traders. The inn owners provided them rooms on the first and second floors and looked after their horses and took care of their wares on the two ground floor courtyards. You can see beautiful ochre geometric patterns on classic arches here. Currently this well-preserved funduq belongs to the El Amri family who have turned it into an artisan’s market. We bought some lovely painted wood planks from here. ; Historical sites • Monuments & Points of interest ; , '', ,","foundouk,el,amri,el,al,mizane,rue,souk,el,fassi,kat,bennahïd,building,use,caravanserai,merchant,inn,century,use,staging,post,sugar,tea,trader,inn,owner,provide,room,first,second,floor,look,horse,take,care,ware,two,ground,floor,courtyard,see,beautiful,ochre,geometric,pattern,classic,arch,currently,funduq,belongs,el,amri,family,turn,artisan,market,buy,lovely,paint,wood,plank,historical,site,monument,point,interest",46,/maps/dir//Foundouk+el+Amri+el+al+Mizane+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee6a4f7156a5:0x96a093de7e231fa4?sa=X
47,Bab Debbagh,"10 Kawtar, Marrakech 40000","This is the eastern portal of the Marrakech Madina. Out of all the medieval gates of Marrakech this is the only one named after the craft practiced in the district beyond it. The word Debbagh means tanners. Leather craft and trade is an integral part of the Moroccan economy. Historically this was the first district established in Marrakech as tanners were the earliest settlers here. They chose this location because it was close to the Oued Issil river, as water is needed for tanning. The second reason was that it was located far from the other parts of the city, as tanning is a smelly process. Like any other historical structure this old gate too has it’s share of legends. One says that it is the abode of a genie called Malik Gharub who revolted against the king. Another relates that seven virgins were buried here so women desiring children should light candles here.",http://www.marrakech-riad.co.uk/2014/11/the-gates-of-marrakech-bab-el-debbagh-the-tanners-gate/,,,Sites historiques • Bâtiments architecturaux • Monuments et statues,"Mom's Touch,Dar Rafti,Café restaurant Al Oud,Medina Social Club Restaurant,Restaurant Boujloud,Fondouk Bazaar,Made in M-Fes,Cinema Cafe,Le Tarbouche Fès,","Bou Inania Medersa,La Petite Maison Berbere,Bab Bou Jeloud,Azilal Gallery,Dar al-Magana,Bab Mahrouk,Galerie Yessari,Palais Dar Pacha Tazi,Dar Batha Museum,","Bab Debbagh ; 10 Kawtar, Marrakech 40000 ; This is the eastern portal of the Marrakech Madina. Out of all the medieval gates of Marrakech this is the only one named after the craft practiced in the district beyond it. The word Debbagh means tanners. Leather craft and trade is an integral part of the Moroccan economy. Historically this was the first district established in Marrakech as tanners were the earliest settlers here. They chose this location because it was close to the Oued Issil river, as water is needed for tanning. The second reason was that it was located far from the other parts of the city, as tanning is a smelly process. Like any other historical structure this old gate too has it’s share of legends. One says that it is the abode of a genie called Malik Gharub who revolted against the king. Another relates that seven virgins were buried here so women desiring children should light candles here. ; Sites historiques • Bâtiments architecturaux • Monuments et statues ; Mom's Touch,Dar Rafti,Café restaurant Al Oud,Medina Social Club Restaurant,Restaurant Boujloud,Fondouk Bazaar,Made in M-Fes,Cinema Cafe,Le Tarbouche Fès,","bab,debbagh,kawtar,marrakech,eastern,portal,marrakech,madina,medieval,gate,marrakech,one,name,craft,practice,district,beyond,word,debbagh,mean,tanner,leather,craft,trade,integral,part,moroccan,economy,historically,first,district,establish,marrakech,tanner,early,settler,choose,location,close,oued,issil,river,water,need,tan,second,reason,locate,far,part,city,tanning,smelly,process,like,historical,structure,old,gate,share,legend,one,say,abode,genie,call,malik,gharub,revolt,king,another,relate,seven,virgin,bury,woman,desire,child,light,candle,sit,historiques,bâtiments,architecturaux,monument,et,statue,mom,touch,dar,rafti,café,restaurant,al,oud,medina,social,club,restaurant,restaurant,boujloud,fondouk,bazaar,make,cinema,cafe,le,tarbouche,fès",47,/maps/dir//Bab+Debbagh+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee148da83ee9:0x6b6f68e18d25c8c4?sa=X
48,Beldi Country Club Marrakech,Marrakech,"You will reach the Beldi hotel after crossing a winding road that stretches between olive trees. A luxury establishment a few kilometers from Marrakech airport, this place has both the charm of traditional accommodation and the comfort of modernity. This place will take your employees away from the troubles of everyday life and will provide them with a comforting rest for their business trip.'",http://beldicountryclub.com/,,,Monuments & Points of Interest,"Dar Boufares,La Colline,Best of Sandwich,Tatfi Food,","Ksar of Ait-Ben-Haddou,Medersa Ben Youssef,Cyber Parc Arsat Moulay Abdeslam,Marrakech Ramparts,MACMA Musee d'Art et de Culture de Marrakech,Oasiria,Jardin Jnane El Harti,Eden Aquapark,Mosquée Sidi-bel-Abbès,","Beldi Country Club Marrakech ; Marrakech ; You will reach the Beldi hotel after crossing a winding road that stretches between olive trees. A luxury establishment a few kilometers from Marrakech airport, this place has both the charm of traditional accommodation and the comfort of modernity. This place will take your employees away from the troubles of everyday life and will provide them with a comforting rest for their business trip.' ; Monuments & Points of Interest ; Dar Boufares,La Colline,Best of Sandwich,Tatfi Food,","beldi,country,club,marrakech,marrakech,reach,beldi,hotel,cross,wind,road,stretch,olive,tree,luxury,establishment,kilometer,marrakech,airport,place,charm,traditional,accommodation,comfort,modernity,place,take,employee,away,trouble,everyday,life,provide,comforting,rest,business,trip,monument,point,interest,dar,boufares,la,colline,best,sandwich,tatfi,food",48,/maps/dir//Beldi+Country+Club+Marrakech+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef433680c277:0xb6d08dba582fd2dc?sa=X
49,Gueliz Mosque," Mosque of Guéliz, Marrakech 40000","The Gate of Bab Taghzout dates from the Almoravid era of Marrakech. This is the old northern entrance to the city. It is located near the center of Marrakech. It is a magnificent historical monument, from where you can get lost in the streets, go through Diar Saboun street and go to see the Ben Youssef Mosque. It is a less touristy district, much quieter than the souk district. The streets are narrow, the houses simple, the children play at the bottom of their homes, it's like being in another era.",http://www.africabizinfo.com/ma/%d9%85%d8%b3%d8%ac%d8%af-%d8%ac%d9%84%d9%8a%d8%b2,,,Monuments & Points of Interest • Religious Sites,", '', ,","Jardin Majorelle,Musee de l’Art Culinaire Marocain,Medina of Marrakesh,Palácio da Bahia,Visit Marrakech,Jemaa el-Fnaa,Sahara Riders,Le Musée Berbère,The Orientalist Museum of Marrakech,","Gueliz Mosque ;  Mosque of Guéliz, Marrakech 40000 ; The Gate of Bab Taghzout dates from the Almoravid era of Marrakech. This is the old northern entrance to the city. It is located near the center of Marrakech. It is a magnificent historical monument, from where you can get lost in the streets, go through Diar Saboun street and go to see the Ben Youssef Mosque. It is a less touristy district, much quieter than the souk district. The streets are narrow, the houses simple, the children play at the bottom of their homes, it's like being in another era. ; Monuments & Points of Interest • Religious Sites ; , '', ,","gueliz,mosque,mosque,guéliz,marrakech,gate,bab,taghzout,date,almoravid,era,marrakech,old,northern,entrance,city,locate,near,center,marrakech,magnificent,historical,monument,get,lose,street,go,diar,saboun,street,go,see,ben,youssef,mosque,less,touristy,district,much,quiet,souk,district,street,narrow,house,simple,child,play,bottom,home,like,another,era,monument,point,interest,religious,site",49,
50,Bab Taghzout,"Bab Taghzout , Medina 40000, Marrakech","Bab Taghzout is located north of the medina, just 15 minutes on foot from the Jemaa el-Fna square and accessible by car from the Koutoubia or the Bab Doukala gate. Unlike some neighborhoods, Bab Taghzout has not succumbed to the sirens of tourism. Its narrow streets have retained a real village life: a market on the ground, small stalls, a traditional oven where the inhabitants come to bake their bread. Of Almoravid origin, the Bab Taghzout gate and the Sidi bel Abbès district to which it was attached in the middle of the 18th century, offer an important cultural and historical heritage. In particular the zaouïa of Sidi Bel Abbès, one of the seven holy protectors of the city, defender of the poor and the blind.",http://www.petitfute.co.uk/v48159-marrakech/c1173-visites-points-d-interet/c937-monuments/c967-ouvrage-d-art/344803-bab-taghzout.html,,,Sites historiques • Bâtiments architecturaux • Monuments et statues, , ,"Bab Taghzout ; Bab Taghzout , Medina 40000, Marrakech ; Bab Taghzout is located north of the medina, just 15 minutes on foot from the Jemaa el-Fna square and accessible by car from the Koutoubia or the Bab Doukala gate. Unlike some neighborhoods, Bab Taghzout has not succumbed to the sirens of tourism. Its narrow streets have retained a real village life: a market on the ground, small stalls, a traditional oven where the inhabitants come to bake their bread. Of Almoravid origin, the Bab Taghzout gate and the Sidi bel Abbès district to which it was attached in the middle of the 18th century, offer an important cultural and historical heritage. In particular the zaouïa of Sidi Bel Abbès, one of the seven holy protectors of the city, defender of the poor and the blind. ; Sites historiques • Bâtiments architecturaux • Monuments et statues ;  ","bab,taghzout,bab,taghzout,medina,marrakech,bab,taghzout,locate,north,medina,minute,foot,jemaa,square,accessible,car,koutoubia,bab,doukala,gate,unlike,neighborhood,bab,taghzout,succumb,siren,tourism,narrow,street,retain,real,village,life,market,ground,small,stall,traditional,oven,inhabitant,come,bake,bread,almoravid,origin,bab,taghzout,gate,sidi,bel,abbès,district,attach,middle,century,offer,important,cultural,historical,heritage,particular,zaouïa,sidi,bel,abbès,one,seven,holy,protector,city,defender,poor,blind,sit,historiques,bâtiments,architecturaux,monument,et,statue",50,
51,Mausoleum of Youssef Ben Tachfine,"Marrakesh 40000, Morocco
Marrakech, Marrakech-Tensift-Al Haouz",Youssef Ben Tachefine was the great Almoravid ruler who created the first Berber State uniting North Africa and Spain. After fighting the Christians and conquering many areas of Africa and Iberia he died in 1106. He was buried in a mausoleum near the place where Kutoobia Mosque stands now. It really saddened me to see that the building stood in a dilapidated state. The person who should be the most revered in this city lays here in oblivion.,,,,Sites historiques • Cimetières,"Âme et Saveurs,Zeitoun Cafe Kasbah,La Table de La Kasbah,La Villa Des Orangers - Restaurant,Fine Mama?,Zwin Zwin Café,Restaurant El Bahja,Café Kif Kif,Snack Grand Atlas,","Parc Lalla Hasna,Koutoubia Mosque,Palácio da Bahia,Jemaa el-Fnaa,Dar Moulay Ali, Maison de la France à Marrakech,Bab Agnaou,Maison Denise Masson,Medina of Marrakesh,El Badi Palace,","Mausoleum of Youssef Ben Tachfine ; Marrakesh 40000, Morocco
Marrakech, Marrakech-Tensift-Al Haouz ; Youssef Ben Tachefine was the great Almoravid ruler who created the first Berber State uniting North Africa and Spain. After fighting the Christians and conquering many areas of Africa and Iberia he died in 1106. He was buried in a mausoleum near the place where Kutoobia Mosque stands now. It really saddened me to see that the building stood in a dilapidated state. The person who should be the most revered in this city lays here in oblivion. ; Sites historiques • Cimetières ; Âme et Saveurs,Zeitoun Cafe Kasbah,La Table de La Kasbah,La Villa Des Orangers - Restaurant,Fine Mama?,Zwin Zwin Café,Restaurant El Bahja,Café Kif Kif,Snack Grand Atlas,","mausoleum,youssef,ben,tachfine,marrakesh,morocco,marrakech,haouz,youssef,ben,tachefine,great,almoravid,ruler,create,first,berber,state,uniting,north,africa,spain,fight,christian,conquer,many,area,africa,iberia,die,bury,mausoleum,near,place,kutoobia,mosque,stand,really,sadden,see,building,stand,dilapidated,state,person,revered,city,lay,oblivion,sit,historiques,cimetières,âme,et,saveurs,zeitoun,cafe,kasbah,la,table,de,la,kasbah,la,villa,de,orangers,restaurant,fine,mama,zwin,zwin,café,restaurant,el,bahja,café,kif,kif,snack,grand,atlas",51,
52,Bar Er Robb,"J285+XP4, Rue Oqba Ben Nafaa, Marrakech 40000","This gate was built on the south side of the medina to defend the city. It was built during the Almohad period by Yaqub Al Mansur. His name has interesting connotations. Some people believe it was called Rabb or God. Others believe it was named after an alcoholic fruit drink popular among the Almohads. The gate was also used to deliver figs, berries and fruits to the townspeople. Bab er-Robb is a unique gate as it is the only one located in a corner of the city walls. Nowadays there is a pottery shop in this gate.",,,,"Historical sites • Monuments & Points of interest • Architectural buildings
","Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Pastaz by Catanzaro,Restaurant Riad Hamdane,Le Chineur,","Medersa Ben Youssef,Marrakech Ramparts,Jardin Bio Aromatique Nectarome,Place de Foucauld,Amazonite,Galerie Dawiya,David Bloch Gallery,Air One Parapente,Bab El Khemis,","Bar Er Robb ; J285+XP4, Rue Oqba Ben Nafaa, Marrakech 40000 ; This gate was built on the south side of the medina to defend the city. It was built during the Almohad period by Yaqub Al Mansur. His name has interesting connotations. Some people believe it was called Rabb or God. Others believe it was named after an alcoholic fruit drink popular among the Almohads. The gate was also used to deliver figs, berries and fruits to the townspeople. Bab er-Robb is a unique gate as it is the only one located in a corner of the city walls. Nowadays there is a pottery shop in this gate. ; Historical sites • Monuments & Points of interest • Architectural buildings
 ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Pastaz by Catanzaro,Restaurant Riad Hamdane,Le Chineur,","bar,er,robb,rue,oqba,ben,nafaa,marrakech,gate,build,south,side,medina,defend,city,build,almohad,period,yaqub,al,mansur,name,interesting,connotation,people,believe,call,rabb,god,others,believe,name,alcoholic,fruit,drink,popular,among,almohads,gate,also,use,deliver,fig,berry,fruit,townspeople,bab,unique,gate,one,locate,corner,city,wall,nowadays,pottery,shop,gate,historical,site,monument,point,interest,architectural,building,restaurant,naima,chez,ahmed,jnane,tamsna,yami,le,piri,piri,pastaz,catanzaro,restaurant,riad,hamdane,le,chineur",52,/maps/dir//Bar+Er+Robb+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee4ff524579f:0x92f88eb60a2eab23?sa=X
53,Bab Aylen,"22 Derb El Ferrane, Marrakesh 40000","This door, which bears the name of a Berber people, is characterized by an angled aspect which has retained its original appearance. It has no architectural particularity. On the other hand, it marks a strong episode in history: it is indeed in front of this door that the Almohads suffered a bloody defeat in 1129 when they tried to take the city for the first time. Once through the gate, you can see the small mosque of qadi Ayad Ben Moussa, one of the city's seven saints. It is also the entrance to a district where there are many riads.",http://www.petitfute.co.uk/v48159-marrakech/c1173-visites-points-d-interet/c937-monuments/679533-bab-aylen.html,,,Historic sites • Architectural buildings • Monuments and statues,"Bey961 Lebanese,Top Dwich,L'asiatique,Mc Tacos,Snack Asallam,Cafe Royal,Cafe Taounat,Café Melilla,Forest Café/restaurant,","Jardin Michel Vu,Plage Ras El-ma,","Bab Aylen ; 22 Derb El Ferrane, Marrakesh 40000 ; This door, which bears the name of a Berber people, is characterized by an angled aspect which has retained its original appearance. It has no architectural particularity. On the other hand, it marks a strong episode in history: it is indeed in front of this door that the Almohads suffered a bloody defeat in 1129 when they tried to take the city for the first time. Once through the gate, you can see the small mosque of qadi Ayad Ben Moussa, one of the city's seven saints. It is also the entrance to a district where there are many riads. ; Historic sites • Architectural buildings • Monuments and statues ; Bey961 Lebanese,Top Dwich,L'asiatique,Mc Tacos,Snack Asallam,Cafe Royal,Cafe Taounat,Café Melilla,Forest Café/restaurant,","bab,aylen,derb,el,ferrane,marrakesh,door,bear,name,berber,people,characterize,angled,aspect,retain,original,appearance,architectural,particularity,hand,mark,strong,episode,history,indeed,front,door,almohads,suffer,bloody,defeat,try,take,city,first,time,gate,see,small,mosque,qadi,ayad,ben,moussa,one,city,seven,saint,also,entrance,district,many,riads,historic,site,architectural,building,monument,statue,lebanese,top,dwich,mc,taco,snack,asallam,cafe,royal,cafe,taounat,café,melilla,forest",53,
54,Mechouar Square of Allegiance,"Medina, Marrakech Morocco","In the past, people used to pledge their allegiance to the ruler at this small square. Have a walk around!",,,,Monuments & Points of Interest,"Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","Jardin Bio Aromatique Nectarome,David Bloch Gallery,Galerie Dawiya,Tanneries,Air One Parapente,Khartit Mustapha Bazaar,Marrakech Ramparts,Medersa Ben Youssef,Menara Gardens and Pavilion,","Mechouar Square of Allegiance ; Medina, Marrakech Morocco ; In the past, people used to pledge their allegiance to the ruler at this small square. Have a walk around! ; Monuments & Points of Interest ; Restaurant Naima,chez ahmed,Jnane Tamsna,African-chic,Yami,Le Piri Piri,Restaurant Riad Hamdane,Le Chineur,Le tanjiers,","mechouar,square,allegiance,medina,marrakech,morocco,past,people,use,pledge,allegiance,ruler,small,square,walk,around,monument,point,interest,restaurant,naima,chez,ahmed,jnane,tamsna,yami,le,piri,piri,restaurant,riad,hamdane,le,chineur,le,tanjiers",54,
55,Win Travel Morocco," 53 Rue Tarek Ibn Zyad Appartment 3, 2nd Floor, 40000","Win Travel Morocco provides travel services of all categories and for all audiences. For business trip, For groups or individually, in an organized or tailor-made trip, we take care of your journey from end to end and we adapt the routes to your desires, a privileged relationship with our partners, to explore the world, deadlines and requirements are methodically taken into consideration. Programmed in time or unexpected, your trip will always benefit from 'turning a dream into reality'.",+2125244-48509,,10:00 AM - 6:00 PM,Towers and observation decks,"Patisserie Gato,Le Tire Bouchon Marrakech,L'Ô A LA BOUCHE - Marrakech,Dameh,Azar,Entrepotes,Exotic Bali,Le 68 Bar A Vin,Restaurant Le LOFT,","Les Secrets Hammam&spa,Jardin Majorelle,MACMA Musee d'Art et de Culture de Marrakech,Marrakech Train Station,Jardin Jnane El Harti,Palácio da Bahia,Medina of Marrakesh,Galerie Le Coeur Blanc,Jemaa el-Fnaa,","Win Travel Morocco ;  53 Rue Tarek Ibn Zyad Appartment 3, 2nd Floor, 40000 ; Win Travel Morocco provides travel services of all categories and for all audiences. For business trip, For groups or individually, in an organized or tailor-made trip, we take care of your journey from end to end and we adapt the routes to your desires, a privileged relationship with our partners, to explore the world, deadlines and requirements are methodically taken into consideration. Programmed in time or unexpected, your trip will always benefit from 'turning a dream into reality'. ; Towers and observation decks ; Patisserie Gato,Le Tire Bouchon Marrakech,L'Ô A LA BOUCHE - Marrakech,Dameh,Azar,Entrepotes,Exotic Bali,Le 68 Bar A Vin,Restaurant Le LOFT,","win,travel,morocco,rue,tarek,ibn,zyad,appartment,floor,win,travel,morocco,provide,travel,service,category,audience,business,trip,group,individually,organize,trip,take,care,journey,end,end,adapt,route,desire,privileged,relationship,partner,explore,world,deadline,requirement,methodically,take,consideration,program,time,unexpected,trip,always,benefit,dream,reality,tower,observation,deck,patisserie,gato,le,tire,bouchon,marrakech,la,bouche,marrakech,dameh,azar,entrepotes,exotic,bali,le,bar,vin,restaurant,le,loft",55,/maps/dir//Win+Travel+Morocco+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef5bfc9bd73b:0x12c688c97603c781?sa=X
56,Delegation Regional du Tourisme,"137 Av. Mohammed V, Marrakech 40000","The Regional Delegation of Tourism plays a primarily administrative role. Certainly, you will be able to get a plan and some basic information, but not much more. It hosts the 'control and quality' service which issues tourist establishments, after visit and examination of file, the official recognition to exercise. An establishment may have received the 'economic' authorization to exist but not be recognized by the tourist services.",+2125244-36131,,,"Government Buildings
","Las Terrazas De Andalucia,Le 6,LA CASA Restaurant Lounge,Restaurant Dar Rhizlane,Epicurien,Gm Cafe Gourmet,Comptoir Darna Marrakech,La Cour des Lions,Dameh,","Le Palais de Congres,Jardin Jnane El Harti,Jardin Majorelle,Cyber Parc Arsat Moulay Abdeslam,Palácio da Bahia,Menara Mall,Medina of Marrakesh,Jemaa el-Fnaa,Casino de Marrakech,","Delegation Regional du Tourisme ; 137 Av. Mohammed V, Marrakech 40000 ; The Regional Delegation of Tourism plays a primarily administrative role. Certainly, you will be able to get a plan and some basic information, but not much more. It hosts the 'control and quality' service which issues tourist establishments, after visit and examination of file, the official recognition to exercise. An establishment may have received the 'economic' authorization to exist but not be recognized by the tourist services. ; Government Buildings
 ; Las Terrazas De Andalucia,Le 6,LA CASA Restaurant Lounge,Restaurant Dar Rhizlane,Epicurien,Gm Cafe Gourmet,Comptoir Darna Marrakech,La Cour des Lions,Dameh,","delegation,regional,du,tourisme,av,mohammed,marrakech,regional,delegation,tourism,play,primarily,administrative,role,certainly,able,get,plan,basic,information,much,host,quality,service,issue,tourist,establishment,visit,examination,file,official,recognition,exercise,establishment,may,receive,authorization,exist,recognize,tourist,service,government,building,la,terrazas,de,andalucia,le,la,casa,restaurant,lounge,restaurant,dar,rhizlane,epicurien,gm,cafe,gourmet,comptoir,darna,marrakech,la,cour,de,lion,dameh",56,/maps/dir//Delegation+Regional+du+Tourisme+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee91d32779fb:0x1abb832212daf54f?sa=X
57,Chabad Marrakesh,"Rue Ibn Qodama, Marrakech 40000", ,,,,"Religious Sites
","Mazel مزال Cafe,Restaurant Angsana Si Said,Dar Anika Kitchen,Le Tanjia,BlackChich Cafe Restaurant,Fox Art Food,Koulchi Zine,ViaVia Morocco Marrakech,Casa Lalla Restaurant,","Palácio da Bahia,Mellah,Slat Al Azama Synagogue,Miaara Jewish Cemetery,Musée Tiskiwin,Place des Ferblantiers,El Badi Palace,Dar Si Said Museum,Jemaa el-Fnaa,","Chabad Marrakesh ; Rue Ibn Qodama, Marrakech 40000 ;   ; Religious Sites
 ; Mazel مزال Cafe,Restaurant Angsana Si Said,Dar Anika Kitchen,Le Tanjia,BlackChich Cafe Restaurant,Fox Art Food,Koulchi Zine,ViaVia Morocco Marrakech,Casa Lalla Restaurant,","chabad,marrakesh,rue,ibn,qodama,marrakech,religious,site,mazel,مزال,cafe,restaurant,angsana,si,say,dar,anika,kitchen,le,tanjia,blackchich,cafe,restaurant,fox,art,food,koulchi,zine,viavia,morocco,marrakech,casa,lalla,restaurant",57,/maps/dir//Chabad+Marrakesh+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef55e179b5d3:0xb8972f7f5e4777df?sa=X
